"questionnaire_code","questionnaire_title","question_group","question_order","question_type","question_type_description","question_index","question_code","question_description","subquestion_code","subquestion_description","question_scale","question_scale_label","option_code","option_description"
"Q44071","Unified Admission Assessment","History of present illnes","75","M","Multiple choice","mulInjPhysioType[Electrotherapy]","mulInjPhysioType","If you are receiving PHYSIOTHERAPY, indicate what TYPE OF PHYSIOTHERAPY you receive,","Electrotherapy","Eletrotherapy","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","75","M","Multiple choice","mulInjPhysioType[Hydrotherapy]","mulInjPhysioType","If you are receiving PHYSIOTHERAPY, indicate what TYPE OF PHYSIOTHERAPY you receive,","Hydrotherapy","Hydrotherapy","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","75","M","Multiple choice","mulInjPhysioType[Kinesiotherapy]","mulInjPhysioType","If you are receiving PHYSIOTHERAPY, indicate what TYPE OF PHYSIOTHERAPY you receive,","Kinesiotherapy","Kinesiotherapy","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","75","M","Multiple choice","mulInjPhysioType[NINA]","mulInjPhysioType","If you are receiving PHYSIOTHERAPY, indicate what TYPE OF PHYSIOTHERAPY you receive,","NINA","Not informed / not assessed","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","75","M","Multiple choice","mulInjPhysioType[Phototherapy]","mulInjPhysioType","If you are receiving PHYSIOTHERAPY, indicate what TYPE OF PHYSIOTHERAPY you receive,","Phototherapy","Phototherapy","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","75","M","Multiple choice","mulInjPhysioType[Thermotherapy]","mulInjPhysioType","If you are receiving PHYSIOTHERAPY, indicate what TYPE OF PHYSIOTHERAPY you receive,","Thermotherapy","Thermotherapy","","","",""
"Q44071","Unified Admission Assessment","Physical Exam","39","N","Numerical Input","intPexRForearmProna","intPexRForearmProna","Right forearm pronation (in degrees):","","","","","",""
"Q44071","Unified Admission Assessment","Past medical history","4","L","List (Radio)","lstPreFractureScapul","lstPreFractureScapul","If PREVIOUS SCAPULA FRACTURE,","","","","","L","Left "
"Q44071","Unified Admission Assessment","Past medical history","4","L","List (Radio)","lstPreFractureScapul","lstPreFractureScapul","If PREVIOUS SCAPULA FRACTURE,","","","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","Past medical history","4","L","List (Radio)","lstPreFractureScapul","lstPreFractureScapul","If PREVIOUS SCAPULA FRACTURE,","","","","","R","Right"
"Q44071","Unified Admission Assessment","Past medical history","4","L","List (Radio)","lstPreFractureScapul","lstPreFractureScapul","If PREVIOUS SCAPULA FRACTURE,","","","","","RL","Both "
"Q44071","Unified Admission Assessment","Past medical history","30","L","List (Radio)","lstPreOrtsurgILimb","lstPreOrtsurgILimb","If PREVIOUS LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","","","","","L","Left"
"Q44071","Unified Admission Assessment","Past medical history","30","L","List (Radio)","lstPreOrtsurgILimb","lstPreOrtsurgILimb","If PREVIOUS LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","","","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","Past medical history","30","L","List (Radio)","lstPreOrtsurgILimb","lstPreOrtsurgILimb","If PREVIOUS LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","","","","","R","Right"
"Q44071","Unified Admission Assessment","Past medical history","30","L","List (Radio)","lstPreOrtsurgILimb","lstPreOrtsurgILimb","If PREVIOUS LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","","","","","RL","Both "
"Q44071","Unified Admission Assessment","History of present illnes","19","L","List (Radio)","lstInjFractureULimb","lstInjFractureULimb","if UPPER LIMB FRACTURE,","","","","","L","Left"
"Q44071","Unified Admission Assessment","History of present illnes","19","L","List (Radio)","lstInjFractureULimb","lstInjFractureULimb","if UPPER LIMB FRACTURE,","","","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","History of present illnes","19","L","List (Radio)","lstInjFractureULimb","lstInjFractureULimb","if UPPER LIMB FRACTURE,","","","","","R","Right"
"Q44071","Unified Admission Assessment","History of present illnes","19","L","List (Radio)","lstInjFractureULimb","lstInjFractureULimb","if UPPER LIMB FRACTURE,","","","","","RL","Both "
"Q44071","Unified Admission Assessment","History of present illnes","20","M","Multiple choice","mulInjFractureRULimb[NINA]","mulInjFractureRULimb","if RIGHT UPPER LIMB FRACTURE,","NINA","Not informed / not assessed","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","20","M","Multiple choice","mulInjFractureRULimb[RArm]","mulInjFractureRULimb","if RIGHT UPPER LIMB FRACTURE,","RArm","Arm","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","20","M","Multiple choice","mulInjFractureRULimb[RElbow]","mulInjFractureRULimb","if RIGHT UPPER LIMB FRACTURE,","RElbow","Elbow","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","20","M","Multiple choice","mulInjFractureRULimb[RFingers]","mulInjFractureRULimb","if RIGHT UPPER LIMB FRACTURE,","RFingers","Fingers","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","20","M","Multiple choice","mulInjFractureRULimb[RForearm]","mulInjFractureRULimb","if RIGHT UPPER LIMB FRACTURE,","RForearm","Forearm","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","20","M","Multiple choice","mulInjFractureRULimb[RGlenohumeral]","mulInjFractureRULimb","if RIGHT UPPER LIMB FRACTURE,","RGlenohumeral","Glenohumeral","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","20","M","Multiple choice","mulInjFractureRULimb[RHand]","mulInjFractureRULimb","if RIGHT UPPER LIMB FRACTURE,","RHand","Hand","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","20","M","Multiple choice","mulInjFractureRULimb[RWrist]","mulInjFractureRULimb","if RIGHT UPPER LIMB FRACTURE,","RWrist","Wrist","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","43","M","Multiple choice","mulInjOrtsurgRILimb[NINA]","mulInjOrtsurgRILimb","If RIGHT LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","NINA","Not informed / not assessed","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","43","M","Multiple choice","mulInjOrtsurgRILimb[RAnkle]","mulInjOrtsurgRILimb","If RIGHT LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","RAnkle","Ankle","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","43","M","Multiple choice","mulInjOrtsurgRILimb[RFoot]","mulInjOrtsurgRILimb","If RIGHT LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","RFoot","Foot","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","43","M","Multiple choice","mulInjOrtsurgRILimb[RHip]","mulInjOrtsurgRILimb","If RIGHT LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","RHip","Hip","","","",""
