"questionnaire_code","questionnaire_title","question_group","question_order","question_type","question_type_description","question_index","question_code","question_description","subquestion_code","subquestion_description","question_scale","question_scale_label","option_code","option_description"
"Q61802","Unified surgical evaluation ","Surgical Data","61","T","Long Free Text","txtAcSsPATxTubuliz","txtAcSsPATxTubuliz","Which materials were used  for tubulization in Accessory-SE by posterior access transfer?","","","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","74","T","Long Free Text","txtC7contTxTubuliz","txtC7contTxTubuliz","Which materials were used  for tubulization in Contralateral C7 transfer?","","","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[Ac]","mulLysisNerve","Neurolysis of which nerve(s)?","Ac","Accessory nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[Ax]","mulLysisNerve","Neurolysis of which nerve(s)?","Ax","Axilary nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[DS]","mulLysisNerve","Neurolysis of which nerve(s)?","DS","Dorsal scapular nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[FI]","mulLysisNerve","Neurolysis of which nerve(s)?","FI","First intercostal nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[IS]","mulLysisNerve","Neurolysis of which nerve(s)?","IS","Inferior subscapular nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[LP]","mulLysisNerve","Neurolysis of which nerve(s)?","LP","Lateral pectoral nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[LT]","mulLysisNerve","Neurolysis of which nerve(s)?","LT","Long thoracic nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[MCA]","mulLysisNerve","Neurolysis of which nerve(s)?","MCA","Medial cutaneous nerve of arm","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[MCF]","mulLysisNerve","Neurolysis of which nerve(s)?","MCF","Medial cutaneous nerve of forearm","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[MP]","mulLysisNerve","Neurolysis of which nerve(s)?","MP","Medial pectoral nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[Mc]","mulLysisNerve","Neurolysis of which nerve(s)?","Mc","Musculocutaneous nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[Me]","mulLysisNerve","Neurolysis of which nerve(s)?","Me","Median nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[NINA]","mulLysisNerve","Neurolysis of which nerve(s)?","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[Ph]","mulLysisNerve","Neurolysis of which nerve(s)?","Ph","Phrenic nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[Ra]","mulLysisNerve","Neurolysis of which nerve(s)?","Ra","Radial nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[SS]","mulLysisNerve","Neurolysis of which nerve(s)?","SS","Superior subscapular nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[Sc]","mulLysisNerve","Neurolysis of which nerve(s)?","Sc","Subclavian nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[Ssr]","mulLysisNerve","Neurolysis of which nerve(s)?","Ssr","Suprascapular nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[TD]","mulLysisNerve","Neurolysis of which nerve(s)?","TD","Thoracodorsal nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","40","M","Multiple choice","mulLysisNerve[Ul]","mulLysisNerve","Neurolysis of which nerve(s)?","Ul","Ulnar nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","43","M","Multiple choice","mulAcSsAATxRepair[Glue]","mulAcSsAATxRepair","Types of repairs used in the nerve transfer - Accessory-SE by anterior access:","Glue","Glue","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","43","M","Multiple choice","mulAcSsAATxRepair[Graft]","mulAcSsAATxRepair","Types of repairs used in the nerve transfer - Accessory-SE by anterior access:","Graft","Graft","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","43","M","Multiple choice","mulAcSsAATxRepair[NINA]","mulAcSsAATxRepair","Types of repairs used in the nerve transfer - Accessory-SE by anterior access:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","43","M","Multiple choice","mulAcSsAATxRepair[Suture]","mulAcSsAATxRepair","Types of repairs used in the nerve transfer - Accessory-SE by anterior access:","Suture","Suture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","43","M","Multiple choice","mulAcSsAATxRepair[Tubuliz]","mulAcSsAATxRepair","Types of repairs used in the nerve transfer - Accessory-SE by anterior access:","Tubuliz","Tubulization","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","73","T","Long Free Text","txtC7ipsiTxTubuliz","txtC7ipsiTxTubuliz","Which materials were used  for tubulization in Ipsilateral C7 transfer?","","","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","101","L","List (Radio)","lstTrAxTxGraftn","lstTrAxTxGraftn","How many grafts were used in Triceps (Lo/M/La) - Axilary (trunk/ anterior division) transfer?","","","","","1","1"
"Q61802","Unified surgical evaluation ","Surgical Data","101","L","List (Radio)","lstTrAxTxGraftn","lstTrAxTxGraftn","How many grafts were used in Triceps (Lo/M/La) - Axilary (trunk/ anterior division) transfer?","","","","","2","2"
"Q61802","Unified surgical evaluation ","Surgical Data","101","L","List (Radio)","lstTrAxTxGraftn","lstTrAxTxGraftn","How many grafts were used in Triceps (Lo/M/La) - Axilary (trunk/ anterior division) transfer?","","","","","3","3"
"Q61802","Unified surgical evaluation ","Surgical Data","101","L","List (Radio)","lstTrAxTxGraftn","lstTrAxTxGraftn","How many grafts were used in Triceps (Lo/M/La) - Axilary (trunk/ anterior division) transfer?","","","","","4","4"
"Q61802","Unified surgical evaluation ","Surgical Data","101","L","List (Radio)","lstTrAxTxGraftn","lstTrAxTxGraftn","How many grafts were used in Triceps (Lo/M/La) - Axilary (trunk/ anterior division) transfer?","","","","","5","5"
"Q61802","Unified surgical evaluation ","Surgical Data","101","L","List (Radio)","lstTrAxTxGraftn","lstTrAxTxGraftn","How many grafts were used in Triceps (Lo/M/La) - Axilary (trunk/ anterior division) transfer?","","","","","6","6"
"Q61802","Unified surgical evaluation ","Surgical Data","101","L","List (Radio)","lstTrAxTxGraftn","lstTrAxTxGraftn","How many grafts were used in Triceps (Lo/M/La) - Axilary (trunk/ anterior division) transfer?","","","","","NINA","Not informed / not assessed"
"Q61802","Unified surgical evaluation ","Surgical Data","116","T","Long Free Text","txtMPMcTxGrafte","txtMPMcTxGrafte","Graft's extent(s) used in Medial pectoral - Musculocutaneous transfer:","","","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","149","M","Multiple choice","mulGraftrC8[Glue]","mulGraftrC8","Types of repairs used in the C8 graft(s):","Glue","Glue","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","149","M","Multiple choice","mulGraftrC8[NINA]","mulGraftrC8","Types of repairs used in the C8 graft(s):","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","149","M","Multiple choice","mulGraftrC8[Suture]","mulGraftrC8","Types of repairs used in the C8 graft(s):","Suture","Suture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","160","L","List (Radio)","lstGraftnUTrunk","lstGraftnUTrunk","How many grafts were used in upper trunk?","","","","","1","1"
"Q61802","Unified surgical evaluation ","Surgical Data","160","L","List (Radio)","lstGraftnUTrunk","lstGraftnUTrunk","How many grafts were used in upper trunk?","","","","","2","2"
"Q61802","Unified surgical evaluation ","Surgical Data","160","L","List (Radio)","lstGraftnUTrunk","lstGraftnUTrunk","How many grafts were used in upper trunk?","","","","","3","3"
"Q61802","Unified surgical evaluation ","Surgical Data","160","L","List (Radio)","lstGraftnUTrunk","lstGraftnUTrunk","How many grafts were used in upper trunk?","","","","","4","4"
"Q61802","Unified surgical evaluation ","Surgical Data","160","L","List (Radio)","lstGraftnUTrunk","lstGraftnUTrunk","How many grafts were used in upper trunk?","","","","","5","5"
"Q61802","Unified surgical evaluation ","Surgical Data","160","L","List (Radio)","lstGraftnUTrunk","lstGraftnUTrunk","How many grafts were used in upper trunk?","","","","","6","6"
"Q61802","Unified surgical evaluation ","Surgical Data","160","L","List (Radio)","lstGraftnUTrunk","lstGraftnUTrunk","How many grafts were used in upper trunk?","","","","","NINA","Not informed / not assessed"
"Q61802","Unified surgical evaluation ","Surgical Data","182","T","Long Free Text","txtSsrGrafte","txtSsrGrafte","Suprascapular nerve graft's extent(s):","","","","","",""
