"questionnaire_code","questionnaire_title","question_group","question_order","question_type","question_type_description","question_index","question_code","question_description","subquestion_code","subquestion_description","question_scale","question_scale_label","option_code","option_description"
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[Anticonvulsants]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","Anticonvulsants","Anticonvulsants","","","",""
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[Antidepressants]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","Antidepressants","Antidepressants","","","",""
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[Dose]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","Dose","Dose","","","",""
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[Frequency]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","Frequency","Frequency","","","",""
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[Indication]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","Indication","Indication","","","",""
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[Name]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","Name","Name ","","","",""
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[NaturalMedicinesTeas]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","NaturalMedicinesTeas","Natural medicines/teas","","","",""
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[Neuroleptics]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","Neuroleptics","Neuroleptics","","","",""
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[Opioids]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","Opioids","Opioid","","","",""
"Q92510","Unified Follow-up Assessment","History of present illness","40",";","Array (Flexible Labels) multiple texts","txtInjMedicatioList[OtherClassMedicatio1]","txtInjMedicatioList","If you use MEDICATION(S), indicate which one (s),","OtherClassMedicatio1","Other (class/medication): ","","","",""
